類別：所有類別
"急難: (2025/5/18 - 2026/5/18, 台灣)"

TOP
急難 救助,100
急難 救助 金,29
申請 急難 救助,23
急難 救助 金 申請,13
急難 救助 基金 會,8
海外 急難 救助,8
全 聯 急難 救助,7
急難 救助 包,4
學 產 急難 救助,3
急難 救助 線上 申請,3
國 軍 急難 貸款,2
區 公所 急難 救助 金,2
社會 局 急難 救助,2
學 產 基金 急難 救助,2
急難 救助 金 資格,2
急難 救助 金 申請 資格,2
新 北市 急難 救助,2
線上 申請 急難 救助 金,2
全 聯 急難 救助 金,2
民間 急難 救助 金 申請,1
急難 紓 困 線上 申請,1
國 軍 官兵 急難 貸款,1
急難 救助 包 清單,<1
強化 社會 安全 網 急難 紓 困 實施 方案,<1

RISING
國 軍 急難 貸款,飆升
急難 救助 包 清單,飆升
國 軍 官兵 急難 貸款,"+1,300%"
急難 紓 困 線上 申請,+150%
急難 救助 包,+120%
強化 社會 安全 網 急難 紓 困 實施 方案,+50%
民間 急難 救助 金 申請,+40%

